,Original Player_FP,POS,AGE,TIERS,RK,Rank,Rank_PFF,Composite Rank
404,Spencer Rattler,QB40,24,14.0,329.0,165.0,154.0,216.0
185,Ja'Tavion Sanders,TE28,22,11.0,189.0,246.0,216.0,217.0
837,,,,,,291.0,144.0,217.5
408,Tahj Brooks,RB67,23,12.0,236.0,,200.0,218.0
99,Darius Slayton,WR93,28,12.0,226.0,184.0,245.0,218.33
7,Adonai Mitchell,WR71,22,11.0,175.0,289.0,191.0,218.33
401,Shedeur Sanders,QB34,23,12.0,220.0,,221.0,220.5
9,Alec Pierce,WR80,25,12.0,199.0,267.0,196.0,220.67
245,Joe Flacco,QB38,40,14.0,312.0,155.0,197.0,221.33
471,Zach Ertz,TE31,34,12.0,198.0,206.0,263.0,222.33
419,Theo Johnson,TE30,24,11.0,197.0,250.0,222.0,223.0
287,Kendre Miller,RB65,23,12.0,229.0,215.0,232.0,225.33
141,Elijah Mitchell,RB85,27,13.0,274.0,190.0,214.0,226.0
134,Dyami Brown,WR108,25,13.0,259.0,212.0,209.0,226.67
343,Miles Sanders,RB78,28,13.0,258.0,213.0,212.0,227.67
359,Oronde Gadsden II,TE36,22,12.0,228.0,,228.0,228.0
453,Tyler Lockett,WR98,32,12.0,240.0,205.0,242.0,229.0
218,Jarquez Hunter,RB58,22,12.0,203.0,295.0,190.0,229.33
487,,,,,,194.0,265.0,229.5
500,,,,,,195.0,265.0,230.0
296,Kirk Cousins,QB36,36,14.0,301.0,187.0,203.0,230.33
513,,,,,,197.0,265.0,231.0
291,Kenny Pickett,QB42,27,15.0,337.0,202.0,156.0,231.67
432,Trevor Etienne,RB69,21,12.0,238.0,,226.0,232.0
110,DeAndre Hopkins,WR79,33,11.0,193.0,238.0,266.0,232.33
39,Brashard Smith,RB68,22,12.0,237.0,171.0,289.0,232.33
526,,,,,,200.0,265.0,232.5
539,,,,,,201.0,265.0,233.0
78,Cole Kmet,TE27,26,11.0,187.0,266.0,247.0,233.33
129,Dont'e Thornton Jr.,WR109,22,13.0,261.0,,206.0,233.5
273,Juwan Johnson,TE35,28,12.0,225.0,239.0,241.0,235.0
56,Calvin Austin III,WR100,26,13.0,246.0,272.0,192.0,236.67
87,DJ Giddens,RB61,21,12.0,211.0,290.0,210.0,237.0
488,,,,,,194.0,283.0,238.5
120,Devaughn Vele,WR90,27,12.0,222.0,,255.0,238.5
501,,,,,,195.0,283.0,239.0
514,,,,,,197.0,283.0,240.0
552,,,,,,216.0,265.0,240.5
189,Jacory Croskey-Merritt,RB89,24,13.0,280.0,,202.0,241.0
565,,,,,,217.0,265.0,241.0
578,,,,,,218.0,265.0,241.5
527,,,,,,200.0,283.0,241.5
591,,,,,,219.0,265.0,242.0
540,,,,,,201.0,283.0,242.0
489,,,,,,194.0,292.0,243.0
124,Dillon Gabriel,QB37,24,14.0,307.0,204.0,218.0,243.0
604,,,,,,221.0,265.0,243.0
617,,,,,,222.0,265.0,243.5
502,,,,,,195.0,292.0,243.5
630,,,,,,223.0,265.0,244.0
102,Darren Waller,TE51,32,14.0,319.0,175.0,238.0,244.0
23,Audric Estime,RB64,21,12.0,221.0,231.0,280.0,244.0
515,,,,,,197.0,292.0,244.5
130,Dontayvion Wicks,WR78,24,11.0,192.0,296.0,246.0,244.67
490,,,,,,194.0,296.0,245.0
503,,,,,,195.0,296.0,245.5
528,,,,,,200.0,292.0,246.0
330,Mason Rudolph,QB47,30,15.0,384.0,136.0,219.0,246.33
516,,,,,,197.0,296.0,246.5
541,,,,,,201.0,292.0,246.5
206,Jalen Tolbert,WR96,26,12.0,233.0,264.0,243.0,246.67
255,Jordan James,RB73,21,13.0,243.0,,251.0,247.0
93,Dalton Schultz,TE34,29,12.0,213.0,278.0,252.0,247.67
121,Devin Neal,RB59,21,12.0,205.0,299.0,240.0,248.0
529,,,,,,200.0,296.0,248.0
542,,,,,,201.0,296.0,248.5
355,Noah Gray,TE38,26,13.0,248.0,,249.0,248.5
443,Tutu Atwell,WR113,25,13.0,276.0,283.0,187.0,248.67
643,,,,,,233.0,265.0,249.0
474,Zack Moss,RB83,27,13.0,269.0,229.0,,249.0
553,,,,,,216.0,283.0,249.5
656,,,,,,235.0,265.0,250.0
566,,,,,,217.0,283.0,250.0
579,,,,,,218.0,283.0,250.5
399,Savion Williams,WR97,23,12.0,234.0,,267.0,250.5
491,,,,,,194.0,307.0,250.5
592,,,,,,219.0,283.0,251.0
259,Jordan Whittington,WR101,24,13.0,250.0,244.0,259.0,251.0
504,,,,,,195.0,307.0,251.0
669,,,,,,237.0,265.0,251.0
605,,,,,,221.0,283.0,252.0
517,,,,,,197.0,307.0,252.0
468,Xavier Restrepo,WR103,23,13.0,252.0,,,252.0
618,,,,,,222.0,283.0,252.5
0,AJ Barner,TE47,23,14.0,297.0,208.0,,252.5
175,Isaiah Davis,RB80,23,13.0,263.0,300.0,195.0,252.67
682,,,,,,241.0,265.0,253.0
631,,,,,,223.0,283.0,253.0
360,Parker Washington,WR104,23,13.0,253.0,,253.0,253.0
198,Jaleel McLaughlin,RB70,24,12.0,239.0,234.0,286.0,253.0
280,Kareem Hunt,RB79,30,13.0,260.0,225.0,275.0,253.33
530,,,,,,200.0,307.0,253.5
695,,,,,,242.0,265.0,253.5
554,,,,,,216.0,292.0,254.0
708,,,,,,243.0,265.0,254.0
543,,,,,,201.0,307.0,254.0
567,,,,,,217.0,292.0,254.5
580,,,,,,218.0,292.0,255.0
321,Malik Willis,QB44,26,15.0,357.0,160.0,248.0,255.0
721,,,,,,245.0,265.0,255.0
593,,,,,,219.0,292.0,255.5
555,,,,,,216.0,296.0,256.0
734,,,,,,248.0,265.0,256.5
606,,,,,,221.0,292.0,256.5
568,,,,,,217.0,296.0,256.5
747,,,,,,249.0,265.0,257.0
581,,,,,,218.0,296.0,257.0
619,,,,,,222.0,292.0,257.0
2,A.J. Dillon,RB96,27,14.0,308.0,203.0,261.0,257.33
632,,,,,,223.0,292.0,257.5
594,,,,,,219.0,296.0,257.5
354,Noah Fant,TE37,27,12.0,231.0,285.0,,258.0
644,,,,,,233.0,283.0,258.0
607,,,,,,221.0,296.0,258.5
760,,,,,,252.0,265.0,258.5
620,,,,,,222.0,296.0,259.0
657,,,,,,235.0,283.0,259.0
773,,,,,,254.0,265.0,259.5
633,,,,,,223.0,296.0,259.5
440,Troy Franklin,WR89,22,12.0,219.0,273.0,287.0,259.67
670,,,,,,237.0,283.0,260.0
786,,,,,,255.0,265.0,260.0
450,Tyler Conklin,TE41,30,13.0,272.0,251.0,258.0,260.33
799,,,,,,256.0,265.0,260.5
173,Isaac TeSlaa,WR94,23,12.0,227.0,282.0,273.0,260.67
812,,,,,,257.0,265.0,261.0
825,,,,,,258.0,265.0,261.5
556,,,,,,216.0,307.0,261.5
142,Elijah Moore,WR92,25,12.0,224.0,,299.0,261.5
418,Tez Johnson,WR110,23,13.0,262.0,,,262.0
683,,,,,,241.0,283.0,262.0
569,,,,,,217.0,307.0,262.0
645,,,,,,233.0,292.0,262.5
696,,,,,,242.0,283.0,262.5
582,,,,,,218.0,307.0,262.5
595,,,,,,219.0,307.0,263.0
709,,,,,,243.0,283.0,263.0
658,,,,,,235.0,292.0,263.5
269,Justice Hill,RB81,27,13.0,265.0,247.0,279.0,263.67
375,Raheem Mostert,RB87,33,13.0,277.0,259.0,256.0,264.0
608,,,,,,221.0,307.0,264.0
722,,,,,,245.0,283.0,264.0
671,,,,,,237.0,292.0,264.5
621,,,,,,222.0,307.0,264.5
646,,,,,,233.0,296.0,264.5
634,,,,,,223.0,307.0,265.0
735,,,,,,248.0,283.0,265.5
659,,,,,,235.0,296.0,265.5
465,Woody Marks,RB75,24,13.0,247.0,,285.0,266.0
748,,,,,,249.0,283.0,266.0
293,Khalil Herbert,RB84,27,13.0,270.0,261.0,268.0,266.33
672,,,,,,237.0,296.0,266.5
429,Tre Tucker,WR114,24,13.0,279.0,,254.0,266.5
684,,,,,,241.0,292.0,266.5
452,Tyler Higbee,TE39,32,13.0,266.0,265.0,269.0,266.67
336,Michael Mayer,TE40,24,13.0,268.0,293.0,239.0,266.67
357,Ollie Gordon II,RB71,21,13.0,241.0,279.0,281.0,267.0
697,,,,,,242.0,292.0,267.0
122,Devin Singletary,RB77,27,13.0,257.0,232.0,313.0,267.33
710,,,,,,243.0,292.0,267.5
761,,,,,,252.0,283.0,267.5
425,Tory Horton,WR91,22,12.0,223.0,,312.0,267.5
312,Luke McCaffrey,WR106,24,13.0,255.0,280.0,,267.5
685,,,,,,241.0,296.0,268.5
723,,,,,,245.0,292.0,268.5
774,,,,,,254.0,283.0,268.5
787,,,,,,255.0,283.0,269.0
698,,,,,,242.0,296.0,269.0
800,,,,,,256.0,283.0,269.5
711,,,,,,243.0,296.0,269.5
736,,,,,,248.0,292.0,270.0
813,,,,,,257.0,283.0,270.0
647,,,,,,233.0,307.0,270.0
749,,,,,,249.0,292.0,270.5
724,,,,,,245.0,296.0,270.5
826,,,,,,258.0,283.0,270.5
660,,,,,,235.0,307.0,271.0
762,,,,,,252.0,292.0,272.0
295,Kimani Vidal,RB86,23,13.0,275.0,269.0,,272.0
673,,,,,,237.0,307.0,272.0
737,,,,,,248.0,296.0,272.0
750,,,,,,249.0,296.0,272.5
775,,,,,,254.0,292.0,273.0
163,Gunnar Helm,TE42,22,13.0,273.0,,,273.0
788,,,,,,255.0,292.0,273.5
281,Kayshon Boutte,WR99,23,13.0,245.0,302.0,,273.5
686,,,,,,241.0,307.0,274.0
801,,,,,,256.0,292.0,274.0
409,Tai Felton,WR111,22,13.0,264.0,,284.0,274.0
763,,,,,,252.0,296.0,274.0
814,,,,,,257.0,292.0,274.5
699,,,,,,242.0,307.0,274.5
776,,,,,,254.0,296.0,275.0
827,,,,,,258.0,292.0,275.0
712,,,,,,243.0,307.0,275.0
95,Damien Martinez,RB76,21,13.0,249.0,,301.0,275.0
789,,,,,,255.0,296.0,275.5
802,,,,,,256.0,296.0,276.0
94,Dameon Pierce,RB92,25,14.0,290.0,262.0,,276.0
725,,,,,,245.0,307.0,276.0
400,Sean Tucker,RB88,23,13.0,278.0,,274.0,276.0
37,Brandin Cooks,WR102,31,13.0,251.0,263.0,315.0,276.33
815,,,,,,257.0,296.0,276.5
828,,,,,,258.0,296.0,277.0
58,Cam Akers,RB97,26,14.0,311.0,,244.0,277.5
738,,,,,,248.0,307.0,277.5
751,,,,,,249.0,307.0,278.0
838,,,,,,291.0,265.0,278.0
320,Malik Washington,WR95,24,12.0,230.0,288.0,320.0,279.33
764,,,,,,252.0,307.0,279.5
211,Jameis Winston,QB41,31,15.0,336.0,,224.0,280.0
203,Jalen Nailor,WR125,26,14.0,302.0,274.0,264.0,280.0
777,,,,,,254.0,307.0,280.5
313,Luke Musgrave,TE43,24,13.0,281.0,,,281.0
19,Antonio Gibson,RB82,27,13.0,267.0,,295.0,281.0
790,,,,,,255.0,307.0,281.0
803,,,,,,256.0,307.0,281.5
316,Mac Jones,QB45,26,15.0,375.0,240.0,230.0,281.67
816,,,,,,257.0,307.0,282.0
66,Chimere Dike,WR119,23,14.0,292.0,,272.0,282.0
829,,,,,,258.0,307.0,282.5
289,Kenneth Gainwell,RB91,26,14.0,285.0,271.0,294.0,283.33
153,Gabe Davis,WR115,26,14.0,284.0,,,284.0
402,Sincere McCormick,RB90,24,13.0,283.0,,288.0,285.5
221,Javon Baker,WR116,23,14.0,286.0,,,286.0
239,Jermaine Burton,WR105,24,13.0,254.0,304.0,300.0,286.0
475,Zamir White,RB95,25,14.0,306.0,268.0,,287.0
839,,,,,,291.0,283.0,287.0
182,Ja'Lynn Polk,WR107,23,13.0,256.0,,319.0,287.5
83,Curtis Samuel,WR124,29,14.0,300.0,276.0,,288.0
233,Jaylin Lane,WR117,23,14.0,288.0,,290.0,289.0
351,Nick Westbrook-Ikhine,WR112,28,13.0,271.0,,308.0,289.5
413,Taysom Hill,TE44,34,13.0,282.0,298.0,,290.0
264,Josh Reynolds,WR133,30,14.0,320.0,275.0,276.0,290.33
473,Zach Wilson,QB57,26,16.0,420.0,,162.0,291.0
840,,,,,,291.0,292.0,291.5
461,Will Dissly,TE45,29,14.0,287.0,297.0,,292.0
54,Cade Stover,TE46,25,14.0,293.0,,,293.0
841,,,,,,291.0,296.0,293.5
353,Noah Brown,WR128,29,14.0,309.0,,278.0,293.5
382,Ray-Ray McCloud III,WR132,28,14.0,318.0,294.0,271.0,294.33
190,Jahan Dotson,WR122,25,14.0,298.0,,291.0,294.5
195,Jake Browning,QB49,29,16.0,396.0,226.0,262.0,294.67
445,Ty Johnson,RB94,27,14.0,295.0,,,295.0
116,Demarcus Robinson,WR118,30,14.0,289.0,303.0,,296.0
318,Malachi Corley,WR120,23,14.0,294.0,301.0,,297.5
21,Arian Smith,WR134,23,14.0,321.0,,277.0,299.0
842,,,,,,291.0,307.0,299.0
174,Isaiah Bond,WR123,-,14.0,299.0,,,299.0
275,KaVontae Turpin,WR139,29,14.0,334.0,260.0,306.0,300.0
282,KeAndre Lambert-Smith,WR121,23,14.0,296.0,,311.0,303.5
108,Dawson Knox,TE48,28,14.0,304.0,,,304.0
10,Alexander Mattison,RB93,27,14.0,291.0,,317.0,304.0
278,Kalel Mullings,RB100,22,14.0,331.0,281.0,303.0,305.0
248,John Metchie III,WR127,25,14.0,305.0,,,305.0
323,Marcus Mariota,QB46,31,15.0,378.0,,233.0,305.5
457,Tyrod Taylor,QB51,36,16.0,408.0,,204.0,306.0
208,Jalin Hyatt,WR126,23,14.0,303.0,,310.0,306.5
242,Jimmy Garoppolo,QB58,33,16.0,439.0,227.0,260.0,308.67
123,Devontez Walker,WR129,24,14.0,310.0,,,310.0
345,Mitchell Trubisky,QB54,30,16.0,415.0,224.0,298.0,312.33
462,Will Howard,QB39,23,14.0,328.0,,297.0,312.5
385,Ricky White III,WR130,23,14.0,313.0,,,313.0
326,Marquez Valdes-Scantling,WR135,30,14.0,322.0,,305.0,313.5
147,Erick All Jr.,TE49,24,14.0,314.0,,,314.0
444,Ty Chandler,RB99,27,14.0,325.0,,304.0,314.5
246,Joe Milton III,QB55,25,16.0,416.0,,213.0,314.5
308,LeQuint Allen Jr.,RB98,21,14.0,315.0,,,315.0
101,Darnell Washington,TE50,23,14.0,316.0,,,316.0
187,Jacob Cowing,WR131,24,14.0,317.0,,,317.0
161,Greg Dortch,WR137,27,14.0,326.0,,309.0,317.5
422,Tim Patrick,WR136,31,14.0,323.0,,314.0,318.5
317,Mack Hollins,WR142,31,15.0,340.0,305.0,,322.5
395,Sam Howell,QB52,24,16.0,409.0,,236.0,322.5
421,Thomas Fidone II,TE52,22,14.0,324.0,,,324.0
25,Austin Hooper,TE53,30,14.0,327.0,,,327.0
70,Chris Rodriguez Jr.,RB102,25,15.0,343.0,,316.0,329.5
344,Mitchell Evans,TE54,22,14.0,330.0,,,330.0
288,Kendrick Bourne,WR138,30,14.0,332.0,,,332.0
314,Luke Schoonmaker,TE55,26,14.0,333.0,,,333.0
366,Phil Mafah,RB101,22,14.0,335.0,,,335.0
188,Jacoby Brissett,QB50,32,16.0,400.0,,270.0,335.0
406,Stone Smartt,TE68,26,15.0,385.0,286.0,,335.5
258,Jordan Watkins,WR140,23,15.0,338.0,,,338.0
11,Allen Lazard,WR141,29,15.0,339.0,,,339.0
77,Colby Parkinson,TE56,26,15.0,341.0,,,341.0
96,Daniel Bellinger,TE57,24,15.0,342.0,,,342.0
137,Efton Chism III,WR143,-,15.0,344.0,,,344.0
390,Rondale Moore,WR152,25,15.0,371.0,,318.0,344.5
463,Will Levis,QB43,26,15.0,345.0,,,345.0
151,Foster Moreau,TE58,28,15.0,346.0,,,346.0
143,Emanuel Wilson,RB103,26,15.0,347.0,,,347.0
160,Grant Calcaterra,TE59,26,15.0,348.0,,,348.0
350,Nick Nash,WR144,25,15.0,349.0,,,349.0
67,Chris Brooks,RB104,25,15.0,350.0,,,350.0
376,Raheim Sanders,RB105,23,15.0,351.0,,,351.0
156,Gavin Bartholomew,TE60,22,15.0,352.0,,,352.0
250,Jonathan Mingo,WR145,24,15.0,353.0,,,353.0
439,Treylon Burks,WR146,25,15.0,354.0,,,354.0
324,Marcus Yarns,RB106,23,15.0,355.0,,,355.0
311,Luke Lachey,TE61,24,15.0,356.0,,,356.0
238,Jeremy Ruckert,TE62,25,15.0,358.0,,,358.0
164,Gus Edwards,RB107,30,15.0,359.0,,,359.0
193,Jake Bobo,WR147,27,15.0,360.0,,,360.0
397,Samaje Perine,RB108,29,15.0,361.0,,,361.0
236,Jelani Woods,TE63,26,15.0,362.0,,,362.0
107,Davis Mills,QB60,26,16.0,442.0,,282.0,362.0
140,Elijah Higgins,TE64,24,15.0,363.0,,,363.0
128,Donovan Edwards,RB109,22,15.0,364.0,,,364.0
340,Michael Woods II,WR148,25,15.0,365.0,,,365.0
437,Trey Palmer,WR149,24,15.0,366.0,,,366.0
423,Tommy Tremble,TE65,25,15.0,367.0,,,367.0
297,Konata Mumpfield,WR150,22,15.0,368.0,,,368.0
8,Aidan O'Connell,QB61,26,16.0,443.0,,293.0,368.0
170,Hunter Renfrow,WR151,29,15.0,369.0,,,369.0
169,Hunter Long,TE66,26,15.0,370.0,,,370.0
17,Andy Dalton,QB59,37,16.0,440.0,,302.0,371.0
477,Zay Jones,WR153,30,15.0,372.0,,,372.0
61,Carson Steele,RB110,22,15.0,373.0,,,373.0
438,Trey Sermon,RB111,26,15.0,374.0,,,374.0
420,Theo Wease Jr.,WR154,24,15.0,376.0,,,376.0
20,Antwane Wells Jr.,WR155,24,15.0,377.0,,,377.0
115,Deion Burks,WR156,-,15.0,379.0,,,379.0
378,Rasheen Ali,RB112,24,15.0,380.0,,,380.0
50,Bub Means,WR157,24,15.0,381.0,,,381.0
43,Brevin Jordan,TE67,25,15.0,382.0,,,382.0
334,Michael Carter,RB113,26,15.0,383.0,,,383.0
166,Harrison Bryant,TE69,27,15.0,386.0,,,386.0
371,Quinn Ewers,QB48,22,15.0,387.0,,,387.0
207,Jalin Conyers,TE70,24,15.0,388.0,,,388.0
184,Ja'Quinden Jackson,RB114,23,15.0,389.0,,,389.0
216,Jared Wiley,TE71,24,15.0,390.0,,,390.0
335,Michael Gallup,WR158,29,15.0,391.0,,,391.0
447,Tylan Wallace,WR159,26,15.0,392.0,,,392.0
181,Ja'Corey Brooks,WR160,23,15.0,393.0,,,393.0
279,Kalif Raymond,WR161,31,16.0,394.0,,,394.0
135,Dylan Laube,RB115,25,16.0,395.0,,,395.0
144,Emari Demercado,RB116,26,16.0,397.0,,,397.0
274,K.J. Osborn,WR162,28,16.0,398.0,,,398.0
162,Greg Dulcich,TE72,25,16.0,399.0,,,399.0
459,Van Jefferson,WR163,29,16.0,401.0,,,401.0
209,Jamaal Pritchett,WR164,-,16.0,402.0,,,402.0
365,Payne Durham,TE73,25,16.0,403.0,,,403.0
178,Israel Abanikanda,RB117,22,16.0,404.0,,,404.0
85,D'Onta Foreman,RB118,29,16.0,405.0,,,405.0
367,Pierre Strong Jr.,RB119,26,16.0,406.0,,,406.0
310,Luke Farrell,TE74,27,16.0,407.0,,,407.0
75,Clyde Edwards-Helaire,RB120,26,16.0,410.0,,,410.0
263,Josh Oliver,TE75,28,16.0,411.0,,,411.0
435,Trey Lance,QB53,25,16.0,412.0,,,412.0
210,Jamaal Williams,RB121,30,16.0,413.0,,,413.0
150,Ezekiel Elliott,RB122,30,16.0,414.0,,,414.0
14,Ameer Abdullah,RB123,32,16.0,417.0,,,417.0
266,Joshua Dobbs,QB56,30,16.0,418.0,,,418.0
235,Jeff Wilson Jr.,RB124,29,16.0,419.0,,,419.0
302,Kylen Granson,TE76,27,16.0,421.0,,,421.0
370,Quez Watkins,WR165,27,16.0,422.0,,,422.0
194,Jake Briningstool,TE77,22,16.0,423.0,,,423.0
127,Donald Parham Jr.,TE78,27,16.0,424.0,,,424.0
104,David Bell,WR166,24,16.0,425.0,,,425.0
191,Jaheim Bell,TE79,24,16.0,426.0,,,426.0
356,Olamide Zaccheaus,WR167,28,16.0,427.0,,,427.0
305,LaJohntay Wester,WR168,23,16.0,428.0,,,428.0
117,Derius Davis,WR169,24,16.0,429.0,,,429.0
243,Jimmy Horn Jr.,WR170,22,16.0,430.0,,,430.0
276,Kaden Prather,WR171,22,16.0,431.0,,,431.0
28,Beaux Collins,WR172,22,16.0,432.0,,,432.0
126,Dominic Lovett,WR173,22,16.0,433.0,,,433.0
48,Brock Wright,TE80,26,16.0,434.0,,,434.0
249,Johnny Wilson,WR174,24,16.0,435.0,,,435.0
412,Tanner Hudson,TE81,30,16.0,436.0,,,436.0
82,Craig Reynolds,RB125,29,16.0,437.0,,,437.0
76,Cody Schrader,RB126,25,16.0,438.0,,,438.0
346,Moliki Matavao,TE82,22,16.0,441.0,,,441.0
154,Gardner Minshew II,QB62,29,16.0,444.0,,,444.0
133,Drew Lock,QB63,28,16.0,445.0,,,445.0
219,Jarrett Stidham,QB64,29,16.0,446.0,,,446.0
204,Jalen Reagor,WR175,26,16.0,447.0,,,447.0
472,Zach Pascal,WR176,30,16.0,448.0,,,448.0
86,DJ Chark Jr.,WR177,28,16.0,449.0,,,449.0
26,Austin Trammell,WR178,27,16.0,450.0,,,450.0
34,Bo Melton,WR179,26,16.0,451.0,,,451.0
265,Josh Whyle,TE83,25,16.0,452.0,,,452.0
237,Jeremy McNichols,RB127,29,16.0,453.0,,,453.0
113,DeeJay Dallas,RB128,26,16.0,454.0,,,454.0
268,Julius Chestnut,RB129,24,16.0,455.0,,,455.0
149,Evan Hull,RB130,24,16.0,456.0,,,456.0
167,Hassan Haskins,RB131,25,16.0,457.0,,,457.0
98,Dare Ogunbowale,RB132,31,16.0,458.0,,,458.0
466,Xavier Hutchinson,WR180,25,16.0,459.0,,,459.0
41,Brenden Rice,WR181,23,16.0,460.0,,,460.0
146,Eric Gray,RB133,25,16.0,461.0,,,461.0
119,Deuce Vaughn,RB134,23,16.0,462.0,,,462.0
449,Tyler Badie,RB135,25,16.0,463.0,,,463.0
283,Keaontay Ingram,RB136,25,16.0,464.0,,,464.0
152,Frank Gore Jr.,RB137,23,16.0,465.0,,,465.0
33,Blake Watson,RB138,25,16.0,466.0,,,466.0
223,Jawhar Jordan,RB139,25,16.0,467.0,,,467.0
347,Montrell Johnson Jr.,RB140,22,16.0,468.0,,,468.0
403,Sione Vaki,RB141,24,16.0,469.0,,,469.0
391,Ronnie Rivers,RB142,26,16.0,470.0,,,470.0
364,Patrick Taylor Jr.,RB143,27,16.0,471.0,,,471.0
478,Zonovan Knight,RB144,24,16.0,472.0,,,472.0
286,Keilan Robinson,RB145,25,16.0,473.0,,,473.0
451,Tyler Goodson,RB146,24,16.0,474.0,,,474.0
217,Jaret Patterson,RB147,25,16.0,475.0,,,475.0
298,Kyle Juszczyk,RB148,34,16.0,476.0,,,476.0
6,Adam Trautman,TE84,28,16.0,477.0,,,477.0
309,Lucas Krull,TE85,27,16.0,478.0,,,478.0
171,Ian Thomas,TE86,29,16.0,479.0,,,479.0
